Date,Open,High,Low,Close,Adj Close,Volume
2022-04-08,258.000000,268.850006,256.000000,267.799988,261.662292,37826800
2022-04-11,268.750000,273.149994,266.000000,267.500000,261.369171,46147653
2022-04-12,266.899994,268.649994,263.100006,264.799988,258.731049,23553762
2022-04-13,265.299988,270.600006,263.649994,269.549988,263.372192,21414383
2022-04-18,268.000000,272.500000,267.250000,270.100006,263.909607,24399444
2022-04-19,272.000000,272.500000,258.799988,261.549988,255.555542,23380138
2022-04-20,262.899994,265.450012,257.549988,259.549988,253.601379,24510612
2022-04-21,259.700012,264.450012,259.600006,260.399994,254.431900,23412279
2022-04-22,260.000000,263.000000,258.549988,261.100006,255.115875,15671273
2022-04-25,258.799988,259.000000,252.500000,255.250000,249.399948,24208645
2022-04-26,256.600006,260.700012,256.250000,258.950012,253.015152,20536714
2022-04-27,256.200012,258.500000,255.750000,257.500000,251.598373,16580824
2022-04-28,259.500000,263.700012,258.149994,261.100006,255.115875,27924384
2022-04-29,263.000000,263.000000,258.500000,259.549988,253.601379,20419904
2022-05-02,258.000000,264.500000,257.049988,263.149994,257.118866,18965820
2022-05-04,264.000000,266.049988,258.600006,259.750000,253.796799,25951999
2022-05-05,262.000000,265.200012,260.399994,262.049988,256.044067,17932895
2022-05-06,259.000000,267.350006,258.899994,266.649994,260.538666,34490123
2022-05-09,266.149994,266.149994,260.549988,262.950012,256.923462,21403710
2022-05-10,262.000000,266.799988,259.100006,259.750000,253.796799,18033260
2022-05-11,259.000000,262.200012,251.750000,255.649994,249.790771,17344099
2022-05-12,255.000000,256.399994,249.149994,252.899994,247.103790,20044726
2022-05-13,254.949997,260.850006,254.500000,258.600006,252.673172,11921627
2022-05-16,259.950012,259.950012,253.000000,254.100006,248.276306,8186859
2022-05-17,255.000000,265.500000,254.800003,264.700012,258.633362,17797974
2022-05-18,266.000000,267.799988,263.149994,266.799988,260.685211,20200332
2022-05-19,262.600006,279.250000,262.600006,275.649994,269.332397,78287713
2022-05-20,277.000000,282.350006,277.000000,280.000000,273.582703,32370771
2022-05-23,280.000000,280.450012,273.049988,274.500000,268.208740,21700165
2022-05-24,275.000000,275.000000,270.000000,270.850006,264.642426,15547968
2022-05-25,272.950012,273.899994,270.500000,272.700012,266.450012,15288648
2022-05-26,268.250000,268.250000,263.850006,266.700012,266.700012,18420159
2022-05-27,269.000000,270.700012,265.049988,269.200012,269.200012,13468067
2022-05-30,270.500000,271.000000,267.600006,269.049988,269.049988,11819102
2022-05-31,269.049988,274.500000,266.399994,270.649994,270.649994,23208345
2022-06-01,270.649994,274.100006,270.200012,271.850006,271.850006,14699792
2022-06-02,270.700012,274.450012,267.850006,273.500000,273.500000,14240994
2022-06-03,275.000000,275.700012,271.600006,272.700012,272.700012,12487862
2022-06-06,272.399994,275.799988,269.700012,274.799988,274.799988,10925182
2022-06-07,273.200012,275.000000,272.250000,273.899994,273.899994,10828539
2022-06-08,273.950012,274.399994,266.200012,267.899994,267.899994,14361969
2022-06-09,267.799988,271.700012,265.750000,270.850006,270.850006,9860194
2022-06-10,269.049988,271.000000,268.750000,270.149994,270.149994,8371061
2022-06-13,266.399994,269.100006,263.000000,264.649994,264.649994,11092690
2022-06-14,263.200012,267.450012,263.049988,265.450012,265.450012,7422193
2022-06-15,266.000000,267.299988,263.049988,263.399994,263.399994,5059474
2022-06-16,267.000000,267.899994,259.500000,260.700012,260.700012,14293357
2022-06-17,259.000000,264.149994,258.549988,263.299988,263.299988,16654660
2022-06-20,263.299988,266.149994,261.350006,264.100006,264.100006,17081136
2022-06-21,265.000000,270.850006,264.100006,269.899994,269.899994,13883034
2022-06-22,267.000000,270.299988,264.899994,265.299988,265.299988,11320918
2022-06-23,265.500000,267.250000,262.399994,265.500000,265.500000,9067252
2022-06-24,266.100006,268.350006,265.200012,265.850006,265.850006,7013132
2022-06-27,267.000000,270.649994,266.500000,269.950012,269.950012,8172964
2022-06-28,268.899994,272.250000,268.549988,271.850006,271.850006,11240154
2022-06-29,269.250000,275.000000,269.149994,274.049988,274.049988,16018449
2022-06-30,273.950012,274.700012,272.000000,273.500000,273.500000,19262054
2022-07-01,273.500000,285.000000,271.200012,284.350006,284.350006,35165665
2022-07-04,285.649994,293.299988,284.799988,291.899994,291.899994,39881736
2022-07-05,293.000000,293.000000,285.750000,286.899994,286.899994,18568655
2022-07-06,286.100006,290.000000,285.299988,289.299988,289.299988,18292925
2022-07-07,291.000000,293.149994,288.500000,291.950012,291.950012,13794991
2022-07-08,292.899994,294.450012,290.399994,293.049988,293.049988,11110418
2022-07-11,293.000000,296.950012,292.049988,295.000000,295.000000,12352667
2022-07-12,293.000000,295.350006,290.899994,292.700012,292.700012,14074628
2022-07-13,293.000000,294.799988,292.700012,294.049988,294.049988,9277570
2022-07-14,294.299988,296.350006,289.149994,290.850006,290.850006,13414357
2022-07-15,292.000000,294.000000,289.500000,293.549988,293.549988,11025420
2022-07-18,295.000000,296.299988,293.750000,295.299988,295.299988,11315876
2022-07-19,295.000000,295.600006,292.700012,294.600006,294.600006,9188419
2022-07-20,294.899994,299.500000,293.600006,298.200012,298.200012,15789281
2022-07-21,299.000000,302.200012,298.000000,299.549988,299.549988,16042840
2022-07-22,300.000000,302.500000,298.100006,300.549988,300.549988,9967545
